,timeframe,short,long,pnl,winning,losing,take_prof,stop_loss
206,5min,20,100,968.2619202898552,115,78,0.0018478260869565217,0.0015458937198067635
207,5min,30,50,1251.4108876811595,138,91,0.0018478260869565217,0.0015458937198067635
208,5min,30,100,909.6755072463769,86,49,0.0018478260869565217,0.0015458937198067635
209,5min,50,100,1041.918804347826,86,41,0.0018478260869565217,0.0015458937198067635
210,5min,9,20,1268.40857910628,318,374,0.0018478260869565217,0.0017584541062801934
211,5min,9,30,1304.5600760869568,270,292,0.0018478260869565217,0.0017584541062801934
212,5min,9,50,957.3731902173907,226,213,0.0018478260869565217,0.0017584541062801934
213,5min,9,100,925.485291666667,153,126,0.0018478260869565217,0.0017584541062801934
214,5min,14,20,1632.4044522946865,275,259,0.0018478260869565217,0.0017584541062801934
215,5min,14,30,1522.3206080917885,239,215,0.0018478260869565217,0.0017584541062801934
216,5min,14,50,1306.350769927536,190,151,0.0018478260869565217,0.0017584541062801934
217,5min,14,100,937.6901419082131,127,90,0.0018478260869565217,0.0017584541062801934
218,5min,20,30,1143.559292874395,208,181,0.0018478260869565217,0.0017584541062801934
219,5min,20,50,1455.6708327294689,175,114,0.0018478260869565217,0.0017584541062801934
220,5min,20,100,762.8153067632854,115,78,0.0018478260869565217,0.0017584541062801934
221,5min,30,50,1123.3672693236708,138,91,0.0018478260869565217,0.0017584541062801934
222,5min,30,100,813.1163961352651,86,49,0.0018478260869565217,0.0017584541062801934
223,5min,50,100,980.7420072463766,86,41,0.0018478260869565217,0.0017584541062801934
224,5min,9,20,1064.1644583333336,318,374,0.0018478260869565217,0.0019710144927536236
225,5min,9,30,1149.1004963768114,270,292,0.0018478260869565217,0.0019710144927536236
226,5min,9,50,760.8607409420288,226,213,0.0018478260869565217,0.0019710144927536236
227,5min,9,100,796.1805670289857,153,126,0.0018478260869565217,0.0019710144927536236
228,5min,14,20,1437.3748242753622,275,259,0.0018478260869565217,0.0019710144927536236
229,5min,14,30,1331.9284438405798,239,215,0.0018478260869565217,0.0019710144927536236
230,5min,14,50,1100.1258858695644,190,151,0.0018478260869565217,0.0019710144927536236
231,5min,14,100,818.3524655797102,127,90,0.0018478260869565217,0.0019710144927536236
232,5min,20,30,946.9960416666656,208,181,0.0018478260869565217,0.0019710144927536236
233,5min,20,50,1368.8256394927535,175,114,0.0018478260869565217,0.0019710144927536236
234,5min,20,100,681.1026739130434,115,78,0.0018478260869565217,0.0019710144927536236
235,5min,30,50,1011.20309057971,138,91,0.0018478260869565217,0.0019710144927536236
236,5min,30,100,728.9066666666662,86,49,0.0018478260869565217,0.0019710144927536236
237,5min,50,100,925.8542826086949,86,41,0.0018478260869565217,0.0019710144927536236
238,5min,9,20,929.9313134057971,318,374,0.0018478260869565217,0.0021835748792270533
239,5min,9,30,923.5477282608695,270,292,0.0018478260869565217,0.0021835748792270533
240,5min,9,50,582.7901129227054,226,213,0.0018478260869565217,0.0021835748792270533
241,5min,9,100,634.925963164251,153,126,0.0018478260869565217,0.0021835748792270533
242,5min,14,20,1263.3175199275356,275,259,0.0018478260869565217,0.0021835748792270533
243,5min,14,30,1188.0017578502416,239,215,0.0018478260869565217,0.0021835748792270533
244,5min,14,50,956.3278278985501,190,151,0.0018478260869565217,0.0021835748792270533
245,5min,14,100,678.5714124396137,127,90,0.0018478260869565217,0.0021835748792270533
246,5min,20,30,656.6624329710143,208,181,0.0018478260869565217,0.0021835748792270533
247,5min,20,50,1274.2435911835753,175,114,0.0018478260869565217,0.0021835748792270533
248,5min,20,100,557.138384057971,115,78,0.0018478260869565217,0.0021835748792270533
249,5min,30,50,898.9624528985507,138,91,0.0018478260869565217,0.0021835748792270533
250,5min,30,100,633.6408937198065,86,49,0.0018478260869565217,0.0021835748792270533
251,5min,50,100,850.3430990338162,86,41,0.0018478260869565217,0.0021835748792270533
252,5min,9,20,853.5314245169083,318,374,0.0018478260869565217,0.0023961352657004835
253,5min,9,30,822.6340036231882,270,292,0.0018478260869565217,0.0023961352657004835
254,5min,9,50,463.1730211352652,226,213,0.0018478260869565217,0.0023961352657004835
255,5min,9,100,491.00480857487867,153,126,0.0018478260869565217,0.0023961352657004835
256,5min,14,20,1155.8228242753612,275,259,0.0018478260869565217,0.0023961352657004835
257,5min,14,30,1068.4618254830916,239,215,0.0018478260869565217,0.0023961352657004835
258,5min,14,50,867.2257409420288,190,151,0.0018478260869565217,0.0023961352657004835
259,5min,14,100,569.7191612318838,127,90,0.0018478260869565217,0.0023961352657004835
260,5min,20,30,502.5140513285023,208,181,0.0018478260869565217,0.0023961352657004835
261,5min,20,50,1176.8086153381641,175,114,0.0018478260869565217,0.0023961352657004835
262,5min,20,100,480.22389130434794,115,78,0.0018478260869565217,0.0023961352657004835
263,5min,30,50,783.9722306763282,138,91,0.0018478260869565217,0.0023961352657004835
264,5min,30,100,543.4820772946855,86,49,0.0018478260869565217,0.0023961352657004835
265,5min,50,100,791.0112777777775,86,41,0.0018478260869565217,0.0023961352657004835
266,5min,9,20,719.6139945652175,318,374,0.0018478260869565217,0.0026086956521739132
267,5min,9,30,700.6986413043483,270,292,0.0018478260869565217,0.0026086956521739132
268,5min,9,50,355.2610597826085,226,213,0.0018478260869565217,0.0026086956521739132
269,5min,9,100,401.96779891304317,153,126,0.0018478260869565217,0.0026086956521739132
