Time,Time.1,Open,High,Low,Close,Change,Volume,Open Int
12/19/2019 00:00,,8617.75,8618.75,8617.5,8618.25,0.5,278.0,
12/19/2019 00:05,,8618.0,8620.75,8618.0,8619.75,1.75,454.0,
12/19/2019 00:10,,8620.25,8620.5,8618.5,8618.75,-1.5,145.0,
12/19/2019 00:15,,8619.0,8619.75,8618.5,8619.0,0.0,103.0,
12/19/2019 00:20,,8619.25,8619.25,8618.25,8618.75,-0.5,60.0,
12/19/2019 00:25,,8618.75,8620.5,8618.75,8620.5,1.75,83.0,
12/19/2019 00:30,,8620.5,8621.75,8620.5,8621.0,0.5,339.0,
12/19/2019 00:35,,8621.0,8622.0,8620.25,8620.5,-0.5,129.0,
12/19/2019 00:40,,8620.25,8620.75,8619.0,8619.75,-0.5,143.0,
12/19/2019 00:45,,8619.75,8621.0,8619.75,8620.5,0.75,68.0,
12/19/2019 00:50,,8620.75,8622.0,8620.75,8621.0,0.25,71.0,
12/19/2019 00:55,,8621.0,8621.0,8620.5,8620.75,-0.25,53.0,
12/19/2019 01:00,,8620.75,8621.0,8618.75,8619.0,-1.75,265.0,
12/19/2019 01:05,,8619.0,8619.25,8617.5,8618.25,-0.75,180.0,
12/19/2019 01:10,,8618.5,8619.5,8617.25,8617.75,-0.75,275.0,
12/19/2019 01:15,,8617.5,8620.0,8617.25,8618.5,1.0,284.0,
12/19/2019 01:20,,8618.5,8619.25,8617.25,8618.5,0.0,146.0,
12/19/2019 01:25,,8618.5,8621.0,8617.5,8618.5,0.0,318.0,
12/19/2019 01:30,,8618.75,8620.75,8618.75,8619.25,0.5,217.0,
12/19/2019 01:35,,8619.0,8620.5,8617.5,8619.75,0.75,293.0,
12/19/2019 01:40,,8619.75,8620.0,8617.75,8619.0,-0.75,186.0,
12/19/2019 01:45,,8619.0,8620.25,8618.0,8618.75,-0.25,234.0,
12/19/2019 01:50,,8618.75,8619.5,8618.5,8619.25,0.5,70.0,
12/19/2019 01:55,,8619.25,8621.5,8618.25,8621.25,2.0,406.0,
12/19/2019 02:00,,8621.5,8623.25,8619.75,8621.0,-0.5,757.0,
12/19/2019 02:05,,8621.5,8622.25,8620.75,8621.75,0.25,447.0,
12/19/2019 02:10,,8621.5,8621.75,8620.25,8621.5,0.0,356.0,
12/19/2019 02:15,,8621.5,8625.0,8620.0,8620.5,-1.0,828.0,
12/19/2019 02:20,,8620.5,8623.0,8620.5,8622.0,1.5,312.0,
12/19/2019 02:25,,8622.25,8622.75,8619.25,8619.75,-2.5,376.0,
12/19/2019 02:30,,8619.75,8619.75,8615.25,8617.25,-2.5,1243.0,
12/19/2019 02:35,,8617.25,8618.75,8616.25,8617.75,0.5,362.0,
12/19/2019 02:40,,8617.75,8617.75,8610.5,8612.25,-5.5,1465.0,
12/19/2019 02:45,,8612.25,8612.25,8608.75,8610.25,-2.0,913.0,
12/19/2019 02:50,,8610.0,8613.25,8609.25,8613.0,3.0,608.0,
12/19/2019 02:55,,8613.0,8615.75,8613.0,8615.5,2.5,568.0,
12/19/2019 03:00,,8615.5,8620.25,8615.25,8619.0,3.5,705.0,
12/19/2019 03:05,,8619.0,8621.75,8619.0,8619.75,0.75,347.0,
12/19/2019 03:10,,8619.5,8620.5,8617.0,8617.75,-1.75,407.0,
12/19/2019 03:15,,8617.75,8618.75,8615.0,8618.0,0.25,625.0,
12/19/2019 03:20,,8618.25,8620.0,8617.25,8619.0,0.75,286.0,
12/19/2019 03:25,,8618.75,8619.5,8618.25,8618.5,-0.25,222.0,
12/19/2019 03:30,,8618.5,8621.0,8617.0,8619.0,0.5,398.0,
12/19/2019 03:35,,8619.0,8620.25,8618.25,8619.5,0.5,171.0,
12/19/2019 03:40,,8619.5,8623.5,8618.0,8620.5,1.0,676.0,
12/19/2019 03:45,,8620.5,8623.0,8620.5,8622.25,1.75,338.0,
12/19/2019 03:50,,8622.5,8624.0,8621.75,8622.5,0.0,359.0,
12/19/2019 03:55,,8622.5,8625.25,8622.5,8624.5,2.0,472.0,
12/19/2019 04:00,,8624.5,8625.5,8623.5,8624.5,0.0,256.0,
12/19/2019 04:05,,8624.5,8624.75,8622.5,8622.75,-1.75,451.0,
12/19/2019 04:10,,8622.75,8622.75,8620.0,8620.75,-2.0,701.0,
12/19/2019 04:15,,8620.75,8621.75,8620.0,8620.5,-0.25,192.0,
12/19/2019 04:20,,8620.5,8621.0,8617.75,8619.75,-0.75,557.0,
12/19/2019 04:25,,8619.5,8621.0,8618.25,8618.75,-0.75,334.0,
12/19/2019 04:30,,8619.25,8622.5,8618.75,8622.25,3.0,291.0,
12/19/2019 04:35,,8622.25,8624.25,8621.75,8622.5,0.25,299.0,
12/19/2019 04:40,,8622.75,8624.75,8622.75,8624.5,1.75,244.0,
12/19/2019 04:45,,8624.75,8625.5,8623.0,8623.0,-1.75,618.0,
12/19/2019 04:50,,8623.0,8624.25,8622.0,8623.0,0.0,515.0,
12/19/2019 04:55,,8623.25,8625.25,8623.0,8625.0,1.75,289.0,
12/19/2019 05:00,,8625.25,8626.0,8622.25,8622.5,-2.75,266.0,
12/19/2019 05:05,,8622.75,8624.0,8622.5,8623.5,0.75,95.0,
12/19/2019 05:10,,8623.25,8624.0,8622.75,8623.25,0.0,109.0,
12/19/2019 05:15,,8623.0,8623.25,8621.25,8622.0,-1.0,183.0,
12/19/2019 05:20,,8621.75,8622.25,8618.25,8618.5,-3.25,564.0,
12/19/2019 05:25,,8618.5,8620.0,8618.0,8618.5,0.0,357.0,
12/19/2019 05:30,,8618.5,8620.25,8618.5,8619.75,1.25,148.0,
