Time,Open,High,Low,Close,Change,Volume
6/12/2020 0:00,9710.25,9719.5,9683.25,9719.25,9.0,853
6/12/2020 1:00,9715.25,9725.5,9659.25,9664.5,-50.75,2990
6/12/2020 2:00,9654.25,9732.0,9653.75,9703.5,49.25,3262
6/12/2020 3:00,9703.0,9764.5,9694.75,9756.0,53.0,2598
6/12/2020 4:00,9754.75,9775.75,9737.0,9772.5,17.75,3192
6/12/2020 5:00,9774.25,9783.75,9728.0,9749.75,-24.5,2303
6/12/2020 6:00,9750.0,9769.75,9741.5,9751.75,1.75,1988
6/12/2020 7:00,9738.75,9754.75,9706.5,9737.75,-1.0,5339
6/12/2020 8:00,9743.75,9837.0,9742.5,9797.25,53.5,36746
6/12/2020 9:00,9799.75,9817.5,9642.75,9647.5,-152.25,52588
6/12/2020 10:00,9631.25,9703.25,9555.75,9698.75,67.5,64289
6/12/2020 11:00,9704.75,9724.75,9618.0,9657.25,-47.5,35477
6/12/2020 12:00,9659.0,9665.5,9490.5,9513.75,-145.25,43968
6/12/2020 13:00,9490.5,9600.0,9481.75,9570.25,79.75,42162
6/12/2020 14:00,9592.0,9673.0,9551.5,9667.75,75.75,30064
6/12/2020 15:00,9647.5,9657.75,9492.0,9509.0,-138.5,9832
6/14/2020 18:00,9565.5,9569.25,9509.75,9525.5,-40.0,4106
6/14/2020 19:00,9539.25,9567.0,9533.0,9537.25,-2.0,3143
6/14/2020 20:00,9528.25,9582.75,9528.0,9572.0,43.75,2753
6/14/2020 21:00,9574.0,9585.5,9544.5,9544.75,-29.25,1816
6/14/2020 22:00,9541.75,9570.75,9539.75,9565.5,23.75,1002
6/14/2020 23:00,9560.25,9563.0,9520.0,9526.5,-33.75,1546
6/15/2020 1:00,9408.5,9426.0,9368.25,9404.0,-4.5,6431
6/15/2020 2:00,9412.25,9442.25,9386.5,9437.25,25.0,4702
6/15/2020 3:00,9438.25,9488.25,9423.5,9484.0,45.75,4030
6/15/2020 4:00,9484.75,9515.0,9459.75,9509.0,24.25,3020
6/15/2020 5:00,9510.75,9529.25,9465.0,9466.5,-44.25,3713
6/15/2020 6:00,9470.0,9529.0,9464.0,9512.25,42.25,4694
6/15/2020 7:00,9513.5,9524.25,9491.25,9513.25,-0.25,9789
6/15/2020 8:00,9512.25,9579.0,9471.25,9578.0,65.75,57610
6/15/2020 9:00,9584.0,9623.5,9544.25,9579.75,-4.25,48361
6/15/2020 10:00,9576.75,9626.75,9571.0,9614.75,38.0,39531
6/15/2020 11:00,9611.75,9675.5,9606.0,9671.25,59.5,24157
6/15/2020 12:00,9674.0,9699.25,9665.0,9691.25,17.25,15036
6/15/2020 13:00,9692.0,9798.0,9692.0,9772.5,80.5,41769
6/15/2020 14:00,9767.0,9792.5,9712.5,9748.5,-18.5,34005
6/15/2020 15:00,9765.5,9823.0,9762.5,9815.5,50.0,8612
