Time,Open,High,Low,Close,Change,Volume
6/12/2020 0:00,9710.25,9713.5,9705.5,9711.5,1.25,48
6/12/2020 0:05,9711.25,9712.5,9702.25,9704.75,-6.5,55
6/12/2020 0:10,9702.5,9705.25,9697.0,9699.5,-3.0,51
6/12/2020 0:15,9696.25,9696.25,9683.25,9691.25,-5.0,103
6/12/2020 0:20,9696.25,9698.75,9691.0,9698.5,2.25,50
6/12/2020 0:25,9710.0,9710.0,9703.5,9706.0,-4.0,63
6/12/2020 0:30,9705.25,9705.25,9700.5,9703.25,-2.0,64
6/12/2020 0:35,9703.75,9705.0,9692.75,9698.0,-5.75,41
6/12/2020 0:40,9700.5,9700.5,9690.5,9698.0,-2.5,72
6/12/2020 0:45,9701.25,9703.0,9697.25,9702.25,1.0,13
6/12/2020 0:50,9705.25,9709.5,9701.25,9707.75,2.5,61
6/12/2020 0:55,9715.75,9719.5,9710.75,9719.25,3.5,90
6/12/2020 1:00,9715.25,9723.25,9710.0,9720.25,5.0,177
6/12/2020 1:05,9723.0,9723.0,9707.5,9721.5,-1.5,156
6/12/2020 1:10,9724.25,9725.5,9718.5,9719.5,-4.75,156
6/12/2020 1:15,9719.0,9720.0,9707.0,9709.25,-9.75,183
6/12/2020 1:20,9705.5,9707.25,9677.0,9683.75,-21.75,513
6/12/2020 1:25,9685.25,9687.5,9673.25,9683.0,-2.25,261
6/12/2020 1:30,9688.0,9705.0,9687.0,9703.25,15.25,388
6/12/2020 1:35,9698.75,9704.0,9686.75,9700.75,2.0,118
6/12/2020 1:40,9699.75,9706.25,9690.75,9691.75,-8.0,97
6/12/2020 1:45,9695.5,9701.75,9690.75,9691.5,-4.0,177
6/12/2020 1:50,9694.0,9694.5,9676.0,9676.75,-17.25,123
6/12/2020 1:55,9664.0,9677.0,9659.25,9664.5,0.5,219
6/12/2020 2:00,9654.25,9682.75,9653.75,9662.5,8.25,281
6/12/2020 2:05,9669.0,9683.25,9661.0,9682.5,13.5,134
