,day,prev_close,next_open,1min,3min,5min,15min,30min,60min,ovnt_change
11,01/08/2020,8862.5,8861.25,"Time        01/08/2020 08:30
Time.1      01/08/2020 08:30
Open                 8861.25
High                 8863.25
Low                  8849.25
Close                8849.75
Change                -11.25
Volume                  4313
Open Int                 NaN
Name: 01/08/2020 08:30, dtype: object","Time        01/08/2020 08:30
Time.1                   NaN
Open                 8861.25
High                    8877
Low                     8848
Close                8873.75
Change                  12.5
Volume                 13318
Open Int                 NaN
Name: 01/08/2020 08:30, dtype: object","Time        01/08/2020 08:30
Time.1                   NaN
Open                 8861.25
High                 8881.75
Low                     8848
Close                8874.75
Change                  13.5
Volume                 18574
Open Int                 NaN
Name: 01/08/2020 08:30, dtype: object","Time        01/08/2020 08:30
Time.1                   NaN
Open                 8861.25
High                    8886
Low                     8848
Close                8884.75
Change                  23.5
Volume                 34014
Open Int                 NaN
Name: 01/08/2020 08:30, dtype: object","Time        01/08/2020 08:30
Time.1                   NaN
Open                 8861.25
High                    8896
Low                     8848
Close                8890.25
Change                    29
Volume                 53554
Open Int                 NaN
Name: 01/08/2020 08:30, dtype: object","Time        01/08/2020 08:00
Time.1                   NaN
Open                    8867
High                    8896
Low                     8848
Close                8890.25
Change                 23.25
Volume                 61353
Open Int                 NaN
Name: 01/08/2020 08:00, dtype: object",-0.014104372355430182
12,01/09/2020,8929.75,9001.75,"Time        01/09/2020 08:30
Time.1      01/09/2020 08:30
Open                 9001.75
High                 9012.25
Low                  9000.75
Close                9010.75
Change                  8.75
Volume                  6154
Open Int                 NaN
Name: 01/09/2020 08:30, dtype: object","Time        01/09/2020 08:30
Time.1                   NaN
Open                 9001.75
High                    9017
Low                  9000.75
Close                9013.75
Change                    12
Volume                 13199
Open Int                 NaN
Name: 01/09/2020 08:30, dtype: object","Time        01/09/2020 08:30
Time.1                   NaN
Open                 9001.75
High                 9017.75
Low                  9000.75
Close                 9012.5
Change                 10.75
Volume                 18273
Open Int                 NaN
Name: 01/09/2020 08:30, dtype: object","Time        01/09/2020 08:30
Time.1                   NaN
Open                 9001.75
High                 9022.25
Low                  8998.75
Close                 9007.5
Change                  5.75
Volume                 42991
Open Int                 NaN
Name: 01/09/2020 08:30, dtype: object","Time        01/09/2020 08:30
Time.1                   NaN
Open                 9001.75
High                 9022.25
Low                     8996
Close                9004.25
Change                   2.5
Volume                 69981
Open Int                 NaN
Name: 01/09/2020 08:30, dtype: object","Time        01/09/2020 08:00
Time.1                   NaN
Open                  8995.5
High                 9022.25
Low                   8991.5
Close                9004.25
Change                  8.75
Volume                 78315
Open Int                 NaN
Name: 01/09/2020 08:00, dtype: object",0.8062935692488591
13,01/10/2020,9006.25,9038.0,"Time        01/10/2020 08:30
Time.1      01/10/2020 08:30
Open                    9038
High                 9041.75
Low                  9031.75
Close                9034.75
Change                 -3.25
Volume                  3588
Open Int                 NaN
Name: 01/10/2020 08:30, dtype: object","Time        01/10/2020 08:30
Time.1                   NaN
Open                    9038
High                 9041.75
Low                  9026.75
Close                9030.25
Change                 -7.75
Volume                  9424
Open Int                 NaN
Name: 01/10/2020 08:30, dtype: object","Time        01/10/2020 08:30
Time.1                   NaN
Open                    9038
High                 9041.75
Low                  9015.75
Close                   9019
Change                   -19
Volume                 16386
Open Int                 NaN
Name: 01/10/2020 08:30, dtype: object","Time        01/10/2020 08:30
Time.1                   NaN
Open                    9038
High                 9041.75
Low                   9004.5
Close                   9018
Change                   -20
Volume                 39734
Open Int                 NaN
Name: 01/10/2020 08:30, dtype: object","Time        01/10/2020 08:30
Time.1                   NaN
Open                    9038
High                 9041.75
Low                   9004.5
Close                9030.25
Change                 -7.75
Volume                 61882
Open Int                 NaN
Name: 01/10/2020 08:30, dtype: object","Time        01/10/2020 08:00
Time.1                   NaN
Open                  9039.5
High                    9045
Low                   9004.5
Close                9030.25
Change                 -9.25
Volume                 75015
Open Int                 NaN
Name: 01/10/2020 08:00, dtype: object",0.3525329632199861
14,01/13/2020,8982.75,9017.5,"Time        01/13/2020 08:30
Time.1      01/13/2020 08:30
Open                  9017.5
High                 9027.75
Low                  9016.75
Close                9027.25
Change                  9.75
Volume                  4804
Open Int                 NaN
Name: 01/13/2020 08:30, dtype: object","Time        01/13/2020 08:30
Time.1                   NaN
Open                  9017.5
High                    9029
Low                   9016.5
Close                9019.75
Change                  2.25
Volume                 10497
Open Int                 NaN
Name: 01/13/2020 08:30, dtype: object","Time        01/13/2020 08:30
Time.1                   NaN
Open                  9017.5
High                    9029
Low                     9015
Close                9018.75
Change                  1.25
Volume                 14784
Open Int                 NaN
Name: 01/13/2020 08:30, dtype: object","Time        01/13/2020 08:30
Time.1                   NaN
Open                  9017.5
High                    9029
Low                  9003.75
Close                   9023
Change                   5.5
Volume                 41605
Open Int                 NaN
Name: 01/13/2020 08:30, dtype: object","Time        01/13/2020 08:30
Time.1                   NaN
Open                  9017.5
High                 9037.75
Low                  9003.75
Close                   9033
Change                  15.5
Volume                 65410
Open Int                 NaN
Name: 01/13/2020 08:30, dtype: object","Time        01/13/2020 08:00
Time.1                   NaN
Open                    9016
High                 9037.75
Low                  9003.75
Close                   9033
Change                    17
Volume                 70786
Open Int                 NaN
Name: 01/13/2020 08:00, dtype: object",0.3868525785533383
15,01/14/2020,9085.25,9076.5,"Time        01/14/2020 08:30
Time.1      01/14/2020 08:30
Open                  9076.5
High                  9084.5
Low                   9074.5
Close                 9083.5
Change                     7
Volume                  3499
Open Int                 NaN
Name: 01/14/2020 08:30, dtype: object","Time        01/14/2020 08:30
Time.1                   NaN
Open                  9076.5
High                 9086.25
Low                   9066.5
Close                   9071
Change                  -5.5
Volume                 11015
Open Int                 NaN
Name: 01/14/2020 08:30, dtype: object","Time        01/14/2020 08:30
Time.1                   NaN
Open                  9076.5
High                 9086.25
Low                   9066.5
Close                9074.25
Change                 -2.25
Volume                 15919
Open Int                 NaN
Name: 01/14/2020 08:30, dtype: object","Time        01/14/2020 08:30
Time.1                   NaN
Open                  9076.5
High                 9086.25
Low                  9052.25
Close                9061.75
Change                -14.75
Volume                 39975
Open Int                 NaN
Name: 01/14/2020 08:30, dtype: object","Time        01/14/2020 08:30
Time.1                   NaN
Open                  9076.5
High                 9086.25
Low                  9036.25
Close                9041.25
Change                -35.25
Volume                 69089
Open Int                 NaN
Name: 01/14/2020 08:30, dtype: object","Time        01/14/2020 08:00
Time.1                   NaN
Open                 9087.25
High                    9090
Low                  9036.25
Close                9041.25
Change                   -46
Volume                 78246
Open Int                 NaN
Name: 01/14/2020 08:00, dtype: object",-0.09630995294570871
16,01/15/2020,9050.5,9054.0,"Time        01/15/2020 08:30
Time.1      01/15/2020 08:30
Open                    9054
High                  9062.5
Low                  9051.25
Close                9054.25
Change                     0
Volume                  4181
Open Int                 NaN
Name: 01/15/2020 08:30, dtype: object","Time        01/15/2020 08:30
Time.1                   NaN
Open                    9054
High                    9064
Low                  9051.25
Close                9063.75
Change                  9.75
Volume                  8554
Open Int                 NaN
Name: 01/15/2020 08:30, dtype: object","Time        01/15/2020 08:30
Time.1                   NaN
Open                    9054
High                  9076.5
Low                  9051.25
Close                   9066
Change                    12
Volume                 16503
Open Int                 NaN
Name: 01/15/2020 08:30, dtype: object","Time        01/15/2020 08:30
Time.1                   NaN
Open                    9054
High                 9079.25
Low                  9051.25
Close                9067.75
Change                 13.75
Volume                 36532
Open Int                 NaN
Name: 01/15/2020 08:30, dtype: object","Time        01/15/2020 08:30
Time.1                   NaN
Open                    9054
High                 9086.75
Low                  9051.25
Close                   9084
Change                    30
Volume                 61073
Open Int                 NaN
Name: 01/15/2020 08:30, dtype: object","Time        01/15/2020 08:00
Time.1                   NaN
Open                    9047
High                 9086.75
Low                   9044.5
Close                   9084
Change                    37
Volume                 68043
Open Int                 NaN
Name: 01/15/2020 08:00, dtype: object",0.03867189658029943
17,01/16/2020,9052.75,9095.75,"Time        01/16/2020 08:30
Time.1      01/16/2020 08:30
Open                 9095.75
High                    9099
Low                     9088
Close                9095.25
Change                  -0.5
Volume                  5281
Open Int                 NaN
Name: 01/16/2020 08:30, dtype: object","Time        01/16/2020 08:30
Time.1                   NaN
Open                 9095.75
High                 9103.75
Low                     9088
Close                9101.25
Change                   5.5
Volume                 12433
Open Int                 NaN
Name: 01/16/2020 08:30, dtype: object","Time        01/16/2020 08:30
Time.1                   NaN
Open                 9095.75
High                    9109
Low                     9088
Close                 9105.5
Change                  9.75
Volume                 18334
Open Int                 NaN
Name: 01/16/2020 08:30, dtype: object","Time        01/16/2020 08:30
Time.1                   NaN
Open                 9095.75
High                  9115.5
Low                     9088
Close                9112.75
Change                    17
Volume                 38668
Open Int                 NaN
Name: 01/16/2020 08:30, dtype: object","Time        01/16/2020 08:30
Time.1                   NaN
Open                 9095.75
High                    9118
Low                     9088
Close                 9109.5
Change                 13.75
Volume                 62786
Open Int                 NaN
Name: 01/16/2020 08:30, dtype: object","Time        01/16/2020 08:00
Time.1                   NaN
Open                  9093.5
High                    9118
Low                     9088
Close                 9109.5
Change                    16
Volume                 68066
Open Int                 NaN
Name: 01/16/2020 08:00, dtype: object",0.47499378641849166
18,01/17/2020,9138.0,9175.5,"Time        01/17/2020 08:30
Time.1      01/17/2020 08:30
Open                  9175.5
High                    9180
Low                  9168.25
Close                9169.75
Change                    -6
Volume                  6832
Open Int                 NaN
Name: 01/17/2020 08:30, dtype: object","Time        01/17/2020 08:30
Time.1                   NaN
Open                  9175.5
High                    9180
Low                  9158.25
Close                9160.25
Change                -15.25
Volume                 15561
Open Int                 NaN
Name: 01/17/2020 08:30, dtype: object","Time        01/17/2020 08:30
Time.1                   NaN
Open                  9175.5
High                    9180
Low                  9154.75
Close                9158.75
Change                -16.75
Volume                 21481
Open Int                 NaN
Name: 01/17/2020 08:30, dtype: object","Time        01/17/2020 08:30
Time.1                   NaN
Open                  9175.5
High                    9180
Low                     9140
Close                   9148
Change                 -27.5
Volume                 48973
Open Int                 NaN
Name: 01/17/2020 08:30, dtype: object","Time        01/17/2020 08:30
Time.1                   NaN
Open                  9175.5
High                    9180
Low                     9140
Close                   9158
Change                 -17.5
Volume                 69544
Open Int                 NaN
Name: 01/17/2020 08:30, dtype: object","Time        01/17/2020 08:00
Time.1                   NaN
Open                  9174.5
High                    9186
Low                     9140
Close                   9158
Change                 -16.5
Volume                 85216
Open Int                 NaN
Name: 01/17/2020 08:00, dtype: object",0.41037426132632965
19,01/21/2020,9182.25,9153.75,"Time        01/21/2020 08:30
Time.1      01/21/2020 08:30
Open                 9153.75
High                 9160.75
Low                  9151.75
Close                9158.75
Change                     5
Volume                  4490
Open Int                 NaN
Name: 01/21/2020 08:30, dtype: object","Time        01/21/2020 08:30
Time.1                   NaN
Open                 9153.75
High                    9169
Low                  9151.75
Close                   9168
Change                 14.25
Volume                 12178
Open Int                 NaN
Name: 01/21/2020 08:30, dtype: object","Time        01/21/2020 08:30
Time.1                   NaN
Open                 9153.75
High                 9171.75
Low                  9151.75
Close                   9163
Change                  9.25
Volume                 20288
Open Int                 NaN
Name: 01/21/2020 08:30, dtype: object","Time        01/21/2020 08:30
Time.1                   NaN
Open                 9153.75
High                 9171.75
Low                  9151.75
Close                9162.25
Change                   8.5
Volume                 36753
Open Int                 NaN
Name: 01/21/2020 08:30, dtype: object","Time        01/21/2020 08:30
Time.1                   NaN
Open                 9153.75
High                  9176.5
Low                  9151.75
Close                9170.25
Change                  16.5
Volume                 60781
Open Int                 NaN
Name: 01/21/2020 08:30, dtype: object","Time        01/21/2020 08:00
Time.1                   NaN
Open                 9141.75
High                  9176.5
Low                   9141.5
Close                9170.25
Change                  28.5
Volume                 68771
Open Int                 NaN
Name: 01/21/2020 08:00, dtype: object",-0.3103814424569141
20,01/22/2020,9179.75,9223.25,"Time        01/22/2020 08:30
Time.1      01/22/2020 08:30
Open                 9223.25
High                 9226.25
Low                   9215.5
Close                9215.75
Change                 -7.75
Volume                  4563
Open Int                 NaN
Name: 01/22/2020 08:30, dtype: object","Time        01/22/2020 08:30
Time.1                   NaN
Open                 9223.25
High                 9226.25
Low                  9211.75
Close                9219.75
Change                  -3.5
Volume                 11512
Open Int                 NaN
Name: 01/22/2020 08:30, dtype: object","Time        01/22/2020 08:30
Time.1                   NaN
Open                 9223.25
High                 9226.25
Low                  9211.75
Close                9221.75
Change                  -1.5
Volume                 16654
Open Int                 NaN
Name: 01/22/2020 08:30, dtype: object","Time        01/22/2020 08:30
Time.1                   NaN
Open                 9223.25
High                    9241
Low                  9211.75
Close                   9235
Change                 11.75
Volume                 37011
Open Int                 NaN
Name: 01/22/2020 08:30, dtype: object","Time        01/22/2020 08:30
Time.1                   NaN
Open                 9223.25
High                  9244.5
Low                  9211.75
Close                9239.25
Change                    16
Volume                 57119
Open Int                 NaN
Name: 01/22/2020 08:30, dtype: object","Time        01/22/2020 08:00
Time.1                   NaN
Open                    9226
High                  9244.5
Low                  9211.75
Close                9239.25
Change                 13.25
Volume                 64531
Open Int                 NaN
Name: 01/22/2020 08:00, dtype: object",0.4738691140826275
21,01/23/2020,9201.0,9193.0,"Time        01/23/2020 08:30
Time.1      01/23/2020 08:30
Open                    9193
High                    9201
Low                     9189
Close                9192.75
Change                 -0.25
Volume                  6945
Open Int                 NaN
Name: 01/23/2020 08:30, dtype: object","Time        01/23/2020 08:30
Time.1                   NaN
Open                    9193
High                    9201
Low                     9168
Close                9171.25
Change                -21.75
Volume                 16963
Open Int                 NaN
Name: 01/23/2020 08:30, dtype: object","Time        01/23/2020 08:30
Time.1                   NaN
Open                    9193
High                    9201
Low                  9162.25
Close                   9165
Change                   -28
Volume                 26148
Open Int                 NaN
Name: 01/23/2020 08:30, dtype: object","Time        01/23/2020 08:30
Time.1                   NaN
Open                    9193
High                    9201
Low                  9151.75
Close                9162.25
Change                -30.75
Volume                 62804
Open Int                 NaN
Name: 01/23/2020 08:30, dtype: object","Time        01/23/2020 08:30
Time.1                   NaN
Open                    9193
High                    9201
Low                  9151.75
Close                9189.75
Change                 -3.25
Volume                 95440
Open Int                 NaN
Name: 01/23/2020 08:30, dtype: object","Time        01/23/2020 08:00
Time.1                   NaN
Open                 9189.25
High                    9201
Low                  9151.75
Close                9189.75
Change                   0.5
Volume                107267
Open Int                 NaN
Name: 01/23/2020 08:00, dtype: object",-0.08694707097054669
